ANDFIELD COORDS 
[3 26468]
2.770522788779586909e-01 3.235121122702204755e-01 6.681608052156615685e-01
2.545823736811322346e-01 3.083779702405932133e-01 7.230138090785025451e-01
2.642642593027059728e-01 3.211329458376153134e-01 7.114484166977830260e-01
2.572258919395823962e-01 3.078162226106725408e-01 7.259877671192590531e-01
2.603981138497225567e-01 3.241729918348329464e-01 7.416836567788068768e-01
2.641981713462446812e-01 3.376879789311594826e-01 2.754661679228885829e-01
2.628764122170196282e-01 3.327974701530266310e-01 2.886507152369087725e-01
2.610589934143351387e-01 3.210007699246927859e-01 3.314096230673403420e-01
7.421462724740357508e-01 3.282043571789694525e-01 3.589352569334527399e-01
7.486889801636998909e-01 3.319052827407997230e-01 3.747302785276924730e-01
2.633059839340177732e-01 3.212981657287684589e-01 4.214544637457993126e-01
2.656851503666229353e-01 3.277086975055100715e-01 4.176213622710465145e-01
2.669738655176173703e-01 3.276756535272794535e-01 4.154404597078251715e-01
2.728556936426690394e-01 3.363992637801650476e-01 4.264441044586239626e-01
2.732522213814365664e-01 3.238095080742960929e-01 4.241640699607107101e-01
2.701460874277575863e-01 3.338879214346373581e-01 4.440895888337788588e-01
2.721617700998258949e-01 3.305835236115746145e-01 4.462704913970002574e-01
2.618520488918701927e-01 3.363662198019343741e-01 4.693120574172165993e-01
2.771183668344199269e-01 3.220581772280728394e-01 4.676631629035082893e-01
2.661477660618517538e-01 3.360688239978587566e-01 5.894830930485382980e-01
2.728556936426690394e-01 3.429089274915985697e-01 5.892848291791545901e-01
2.648260069326266453e-01 3.269486860062056355e-01 5.967197242810455826e-01
2.583824311776543592e-01 3.311452712414952870e-01 6.125808338317466628e-01
2.613233452401801937e-01 3.418515201882185162e-01 6.571241164866320483e-01
2.605633337408757022e-01 3.418184762099878427e-01 6.763557118168570526e-01
2.745409365324310014e-01 3.322357225231060140e-01 6.690860366061190945e-01
2.584154751558849772e-01 3.350114166944786476e-01 6.906637543907185872e-01
2.589772227858055942e-01 3.385140783869251546e-01 6.844184425051300646e-01
2.692539000155306783e-01 3.436358950126723322e-01 6.896724350437998252e-01
2.556728249627429062e-01 3.373244951706225736e-01 6.957855710164657648e-01
2.681634487339199513e-01 3.325992062836429231e-01 6.950586034953920578e-01
2.561354406579716692e-01 3.343835811080967391e-01 7.200728950159767106e-01
2.604311578279532302e-01 3.359036041067056111e-01 7.240381724036519806e-01
2.707739230141394948e-01 3.250982232252905280e-01 7.336870140469951007e-01
2.523023391832189821e-01 3.511038340927941093e-01 2.611911693272576107e-01
2.521701632702963991e-01 3.537803963294748888e-01 2.620503127612539562e-01
2.542188899205953256e-01 3.457507096194324947e-01 2.604972457844144662e-01
2.543510658335178531e-01 3.605544118667534659e-01 2.566641443096617237e-01
2.621824886741764837e-01 3.434045871650579507e-01 2.855115373049992300e-01
7.457480661011740564e-01 3.486585797037277112e-01 2.692869439937612963e-01
2.690556361461469148e-01 3.459159295105856402e-01 2.862385048260730480e-01
